
4 29

TIME: 1485125154048427008.000000

A2BF09EA BCID: 2538
1 28
0 0
0 15
6 26
3 27
2 12
5 11
4 29

TIME: 1485125155065423872.000000

A2BF02DD BCID: 733
1 28
0 0
0 15
6 26
3 27
2 12
5 11
4 29

TIME: 1485125155065553920.000000

A2BD02DD BCID: 733
1 28
0 0
0 15
6 26
3 27
2 12
0 0
4 29

TIME: 1485125156085221120.000000

A2BF0BD1 BCID: 3025
1 28
0 0
0 15
6 26
3 27
2 12
5 11
4 29

TIME: 1485125157104984064.000000

A2BF04C6 BCID: 1222
1 28
0 0
0 15
6 26
3 27
2 12
5 11
4 29

TIME: 1485125158104926976.000000

A2BF0DB9 BCID: 3513
1 28
0 0
0 15
6 26
3 27
2 12
5 11
4 29

TIME: 1485125159085239808.000000

A2BF06AE BCID: 1710
1 28
0 0
0 15
6 26
3 27
2 12
5 11
4 29

TIME: 1485125160105061888.000000

A2AF0FA2 BCID: 4002
1 28
0 0
0 15
0 0
3 27
2 12
5 11
4 29

TIME: 1485125160105189120.000000

A2B70FA2 BCID: 4002
1 28
0 0
0 15
6 26
0 0
2 12
5 11
4 29

TIME: 1485125161085228800.000000

A2BF0896 BCID: 2198
1 28
0 0
0 15
6 26
3 27
2 12
5 11
4 29

TIME: 1485125162104960000.000000

A2BF018B BCID: 395
1 28
0 0
0 15
6 26
3 27
2 12
5 11
4 29

TIME: 1485125163085235200.000000

A2BF0A80 BCID: 2688
1 28
0 0
0 15
6 26
3 27
2 12
5 11
4 29

TIME: 1485125164104954880.000000

A2BF0374 BCID: 884
1 28
0 0
0 15
6 26
3 27
2 12
5 11
4 29

TIME: 1485125165085273088.000000

A2BF0C69 BCID: 3177
1 28
0 0
0 15
6 26
3 27
2 12
5 11
4 29

TIME: 1485125166104919808.000000

A2BF055E BCID: 1374
1 28
0 0
0 15
6 26
3 27
2 12
5 11
4 29

TIME: 1485125167085346816.000000

A2AF0E52 BCID: 3666
1 28
0 0
0 15
0 0
3 27
2 12
5 11
4 29

TIME: 1485125167085489920.000000

A2B70E52 BCID: 3666
1 28
0 0
0 15
6 26
0 0
2 12
5 11
4 29

TIME: 1485125168085292032.000000

A2BF0747 BCID: 1863
1 28
0 0
0 15
6 26
3 27
2 12
5 11
4 29

TIME: 1485125168085437952.000000

A2B70747 BCID: 1863
1 28
0 0
0 15
6 26
0 0
2 12
5 11
4 29

TIME: 1485125169104947200.000000

A2BF003C BCID: 60
1 28
0 0
0 15
6 26
3 27
2 12
5 11
4 29

TIME: 1485125170085568000.000000

A2BF092F BCID: 2351
1 28
0 0
0 15
6 26
3 27
2 12
5 11
4 29

TIME: 1485125171105003008.000000

A2BF0224 BCID: 548
1 28
0 0
0 15
6 26
3 27
2 12
5 11
4 29

TIME: 1485125171105127936.000000

A2B70224 BCID: 548
1 28
0 0
0 15
6 26
0 0
2 12
5 11
4 29

TIME: 1485125172085287936.000000

A2AF0B18 BCID: 2840
1 28
0 0
0 15
0 0
3 27
2 12
5 11
4 29

